Vitamin A%,Vitamin C%,Calcium%,Iron%,Magnesium%,Calories (per 100g),potassium (mg),protein (g),fiber (g),classification,name
1,7,0,0,1,52,107,0.3,2.4,fruit,apple
38,16,1,2,2,48,259,1.4,2,fruit,apricot
2,16,1,3,7,160,485,2,7,fruit,avocado
1,14,0,1,6,89,358,1.1,2.6,fruit,banana
0,8,1,1,5,43,325,1.6,2.8,vegetable,beetroot
4,35,2,3,5,43,163,1.4,5,fruit,blackberry
1,16,0,1,1,57,77,0.7,2.4,fruit,blueberry
12,148,4,3,5,34,316,2.8,2.6,vegetable,broccoli
15,141,4,7,5,43,389,3.4,3.8,vegetable,brussels sprouts
334,9,3,1,3,41,320,0.9,2.8,vegetable,carrot
0,80,2,2,3,25,299,1.9,2,vegetable,cauliflower
8,5,4,1,2,16,260,0.7,1.6,vegetable,celery
26,16,1,1,2,50,173,1,1.6,fruit,cherry
2,4,1,1,3,16,147,0.7,0.5,vegetable,cucumber
0,3,0,1,3,25,229,1,3,vegetable,eggplant
12,60,3,8,1,73,280,0.7,7,fruit,elderberry
2,6,1,1,1,67,191,0.6,0.9,fruit,grape
33,20,5,11,7,61,180,1.5,1.8,vegetable,leek
0,88,2,3,2,29,138,1.1,2.8,fruit,lemon
21,60,1,1,2,60,168,0.8,1.6,fruit,mango
4,88,4,0,2,47,181,0.9,2.4,fruit,orange
1,79,1,1,3,50,109,0.5,1.4,fruit,pineapple
6,11,0,1,2,39,190,0.9,1.5,fruit,peach
0,7,0,1,1,57,116,0.4,3.1,fruit,pear
7,134,1,1,2,20,175,0.9,1.7,vegetable,pepper
6,15,0,1,1,46,157,0.7,1.4,fruit,plum
0,17,1,1,3,83,236,1.7,4,fruit,pomegranate
170,15,2,4,3,26,340,1,0.5,vegetable,pumpkin
187,46,9,15,19,23,558,2.9,2.2,vegetable,spinach
0,97,1,2,3,33,153,0.7,2,fruit,strawberry
283,4,3,3,6,86,337,1.6,3,vegetable,sweet potato
13,44,3,1,3,53,166,0.8,1.8,fruit,tangerine
16,22,1,1,2,18,237,0.9,1.2,fruit,tomato
11,13,0,1,2,30,112,0.6,0.4,vegetable,watermelon
4,29,1,2,4,17,261,1.2,1,vegetable,zucchini
